Zipcode,Estimated Total,"Car, truck, or van: Drove alone","Car, truck, or van: Carpooled",Public Transportation
12170,2251,1972,237,0
12172,54,54,0,0
12173,876,768,86,9
12174,198,179,19,0
12175,249,225,24,0
12176,124,120,4,0
12177,272,272,0,0
12180,24677,18090,2472,1609
12182,6103,4944,624,258
12183,1303,1083,105,15
12184,2960,2590,241,33
12185,1180,1037,110,4
12186,3071,2843,135,7
12187,184,177,4,0
12188,5700,4908,570,91
12189,8993,7600,543,401
12190,310,269,27,0
12192,732,610,94,0
12193,916,831,40,0
12194,33,29,4,0
12195,132,104,8,0
12196,1835,1694,100,15
12197,1077,899,143,7
12198,3932,3655,277,0
12202,3940,2319,357,739
12203,13668,10364,1315,1109
12204,3748,2981,197,380
12205,14419,12118,1685,343
12206,5846,3036,438,1438
12207,504,116,75,204
12208,11437,8012,1234,935
12209,5423,3957,649,602
12210,4899,2524,173,865
12211,4940,4387,355,23
12222,1100,352,23,214
12302,12717,11535,857,47
12303,14227,12219,1235,255
12304,9122,7527,587,571
12305,1840,1201,67,165
12306,13519,11877,1269,136
12307,2127,1531,108,293
12308,6493,4792,515,368
12309,14514,13066,1043,117
12401,15802,12899,1458,357
12404,1328,1025,186,52
12405,167,110,6,0
12406,257,213,26,0
12407,57,52,5,0
12409,190,154,9,6
12410,241,225,11,0
12411,217,205,12,0
12412,293,275,0,0
12413,1127,855,86,22
12414,4082,3265,421,44
12416,109,109,0,0
12417,256,256,0,0
12418,130,100,8,0
12419,364,299,49,0
12420,297,286,0,11
12421,213,208,5,0
12422,78,64,14,0
12423,349,241,82,0
12424,120,105,15,0
12427,80,73,0,7
12428,2201,1669,374,51
12429,223,207,16,0
12430,443,336,65,16
12431,526,485,5,0
12432,187,187,0,0
12433,283,229,30,0
12434,202,162,31,0
12435,189,162,27,0
12436,327,327,0,0
12438,18,18,0,0
12439,48,33,15,0
12440,1029,943,68,0
12441,9,9,0,0
12442,360,302,9,0
12443,1770,1661,108,0
12444,163,84,29,4
12446,1997,1713,177,66
12448,215,215,0,0
12449,1168,1065,58,10
12450,52,40,12,0
12451,648,555,54,0
12452,112,68,16,4
12453,143,126,0,0
12454,120,105,0,0
12455,762,578,104,14
12456,419,394,25,0
12457,257,215,15,27
12458,889,782,107,0
12459,57,57,0,0
12460,143,105,0,0
12461,994,717,97,94
12463,656,573,72,0
12464,331,216,83,12
12465,134,102,13,0
12466,1246,965,211,24
12468,278,238,27,2
12469,206,162,33,6
12470,449,437,12,0
12471,143,143,0,0
12472,754,592,146,0
12473,459,420,25,14
12474,533,437,40,2
12475,173,173,0,0
12477,9026,7631,767,257
12480,219,209,4,6
12481,476,451,14,11
12482,271,271,0,0
12483,245,188,42,15
12484,1443,1127,231,77
12485,261,204,12,0
12486,706,641,53,12
12487,1578,1235,111,27
12489,109,90,0,19
12490,20,20,0,0
12491,887,758,113,0
12492,138,134,4,0
12493,177,172,5,0
12494,456,426,0,0
12495,174,130,0,0
12496,578,472,21,0
12498,2169,1659,161,107
12501,1195,901,186,0
12502,632,532,30,60
12503,288,240,31,7
12504,457,135,0,8
12507,76,55,0,0
12508,8840,7141,703,689
12512,85,85,0,0
12513,360,360,0,0
12514,1256,1072,51,41
12515,640,533,10,19
12516,615,560,24,31
12517,208,145,42,0
12518,2573,2326,131,43
12520,1567,1178,121,154
12521,611,555,35,10
12522,2288,2056,129,62
12523,934,835,74,12
12524,6780,5582,750,281
12525,1704,1604,45,6
12526,1556,1264,196,34
12527,135,135,0,0
12528,6033,5009,398,253
12529,1339,1004,105,97
12530,92,92,0,0
12531,1303,1089,74,77
12533,11221,9790,995,308
12534,7551,5934,429,257
12538,6347,5377,418,130
12540,3247,2874,186,98
12542,2720,2208,270,168
12543,1426,1159,126,131
12545,1893,1364,126,69
12546,1201,969,127,11
12547,1316,1190,99,19
12548,782,635,146,0
12549,4597,3593,603,223
12550,23023,15498,3688,1285
12553,12348,10040,1144,800
12561,7720,5887,593,166
12563,3224,2461,454,144
12564,3580,2797,246,331
12565,503,460,6,10
12566,5065,4423,400,97
12567,1225,1021,87,32
12569,4263,3739,291,58
12570,3641,3306,170,98
12571,4382,3746,356,125
12572,4033,3240,321,124
12574,107,86,21,0
12575,823,699,15,95
12577,538,484,16,29
12578,1424,1210,152,51
12580,2116,1811,222,49
12581,1079,889,113,35
12582,1950,1719,114,54
12583,1037,795,130,39
12585,382,348,34,0
12586,6455,5271,633,235
12589,6993,6175,474,60
12590,16343,13336,1471,1230
12592,568,510,48,10
12594,1983,1654,125,123
12601,18303,12932,2107,1291
12603,19862,16161,1812,532
12604,160,12,0,13
12701,4105,3183,655,35
12719,532,467,17,23
12720,56,56,0,0
12721,2838,2466,285,54
12722,31,31,0,0
12723,874,691,65,12
12724,87,70,17,0
12725,90,56,4,30
12726,395,330,47,5
12729,954,729,174,34
12732,228,182,12,18
12733,198,114,8,0
12734,278,243,35,0
12736,60,54,0,0
12737,759,611,80,28
12738,253,253,0,0
12740,576,494,10,0
12741,130,113,17,0
12742,101,101,0,0
12743,168,102,43,0
12745,67,43,24,0
12746,253,232,21,0
12747,590,438,79,0
12748,1255,1095,99,10
12749,62,62,0,0
12750,40,40,0,0
12751,328,252,17,11
12752,103,89,14,0
12754,2921,2364,316,60
12758,1950,1567,172,117
12759,357,236,65,0
12760,239,172,29,10
12762,148,148,0,0
12763,442,343,59,0
12764,693,565,72,24
12765,320,320,0,0
12766,110,95,0,0
12767,24,24,0,0
12768,337,245,72,3
12769,78,78,0,0
12770,97,97,0,0
12771,6003,4705,769,153
12775,958,779,95,31
12776,857,692,76,18
12777,432,394,25,10
12778,278,182,96,0
12779,951,559,243,82
12780,907,722,155,30
12781,128,128,0,0
12783,712,435,267,0
12784,6,0,6,0
12785,421,412,9,0
12786,141,126,0,15
12787,151,111,40,0
12788,896,682,202,0
12789,622,479,67,28
12790,2034,1702,280,16
12791,391,391,0,0
12792,192,192,0,0
12801,7339,5749,785,128
12803,3856,3242,514,21
12804,12262,10736,1154,43
12808,125,117,8,0
12809,1771,1528,137,25
12810,258,201,53,0
12811,110,98,12,0
12812,88,62,14,0
12814,861,783,45,0
12815,350,283,49,0
12816,1902,1556,207,0
12817,728,621,24,0
12819,94,81,11,0
12821,104,104,0,0
12822,2684,2226,334,10
12823,19,19,0,0
12824,316,238,53,14
12827,1770,1542,142,8
12828,4438,3747,544,30
12831,8038,7037,844,83
12832,2690,2183,378,5
12833,2056,1751,245,11
12834,3231,2735,366,1
12835,1032,856,156,7
12836,205,189,13,0
12837,381,307,59,1
12838,226,187,39,0
12839,6063,5296,596,34
12841,24,16,4,0
12842,465,387,56,0
12843,223,171,52,0
12844,37,20,12,0
12845,2339,1955,240,12
12846,1631,1470,102,0
12847,265,203,6,2
12849,223,215,8,0
12850,1477,1248,170,42
12851,82,73,7,0
12852,227,160,64,0
12853,499,409,73,0
12855,82,66,12,0
12856,37,37,0,0
12857,178,130,42,0
12858,12,0,7,0
12859,1298,1154,103,14
12860,337,248,15,0
12861,212,193,14,0
12863,247,203,21,0
12864,22,16,6,0
12865,1720,1486,99,0
12866,17251,14110,1365,132
12870,674,590,30,12
12871,1948,1719,124,5
12872,28,28,0,0
12873,298,247,31,12
12874,47,36,4,2
12878,433,355,78,0
12883,2334,1994,146,0
12884,166,153,11,2
12885,1799,1386,312,9
12886,89,69,6,0
12887,2049,1449,515,0
12901,14565,10658,1778,141
12903,435,359,70,0
12910,740,642,92,6
12911,15,15,0,0
12912,1041,840,119,17
12913,490,454,30,0
12914,250,210,40,0
12916,824,678,105,0
12917,489,443,20,0
12918,1037,916,115,0
12919,1237,965,183,23
12920,1110,939,106,21
12921,1002,870,56,9
12922,14,14,0,0
12923,239,168,56,7
12924,60,27,20,0
12926,725,604,83,8
12927,49,49,0,0
12928,821,693,96,13
12929,395,350,10,8
12930,353,257,83,0
12932,543,474,23,0
12934,467,346,105,10
12935,424,323,97,0
12936,267,250,8,0
12937,625,530,69,17
12939,89,71,4,0
12941,436,388,32,0
12942,261,161,50,19
12943,125,110,0,0
12944,1719,1386,199,16
12945,244,195,49,0
12946,2885,2194,91,0
12950,303,244,32,0
12952,147,117,30,0
12953,4758,3769,609,80
12955,132,119,9,4
12956,487,419,68,0
12957,616,558,35,0
12958,953,839,82,16
12959,531,423,87,0
12960,352,327,20,0
12961,58,58,0,0
12962,3225,2947,209,0
12964,90,53,19,0
12965,141,108,22,0
12966,1345,1140,144,17
12967,401,337,50,0
12969,131,110,18,3
12970,269,142,9,12
12972,2882,2287,345,0
12973,47,45,2,0
12974,750,550,123,11
12975,115,103,12,0
12976,45,45,0,0
12978,163,135,0,0
12979,1062,780,170,16
12980,421,329,86,4
12981,893,822,70,0
12983,3670,2844,402,0
12985,427,335,75,0
12986,2588,1986,447,23
12987,91,91,0,0
12989,528,416,99,5
12992,2257,1897,227,23
12993,724,567,41,0
12996,817,698,62,2
12997,500,389,55,1
12998,103,71,32,0
13020,49,43,6,0
13021,18254,15217,1630,361
13026,778,567,49,0
13027,15014,13562,1103,198
13028,557,458,88,0
13029,3368,3050,208,0
13030,1769,1488,268,0
13031,7200,6357,622,87
13032,6400,5748,571,11
13033,2040,1813,144,0
13034,829,740,73,0
13035,3332,2943,242,1
13036,3865,3406,409,11
13037,4088,3583,361,51
13039,8561,8038,405,15
13040,1006,868,105,9
13041,5552,4972,429,10
13042,816,774,19,0
13044,1101,1013,50,20
13045,12759,9874,1449,82
13051,29,29,0,0
13052,703,541,88,0
13053,2159,1567,413,103
13054,650,616,34,0
13057,7207,6394,592,48
13060,1372,1303,43,0
13061,560,485,63,0
13062,77,77,0,0
13063,1069,917,137,0
13064,13,0,13,0
13066,5865,5283,391,7
13068,2666,2218,342,28
13069,10201,8192,1176,143
13071,433,393,37,0
13072,409,288,99,0
13073,2907,2417,408,21
13074,2163,1728,298,19
13076,1252,1125,118,9
13077,3149,2695,340,7
13078,4377,3920,344,20
13080,1794,1467,243,10
13081,582,519,43,0
13082,2072,1888,113,0
13083,668,458,129,0
13084,2039,1921,91,0
13087,82,79,0,0
13088,10777,9414,1009,94
13090,15437,13641,1234,203
13092,1374,1107,205,11
13101,1232,1098,78,19
13102,85,85,0,0
13103,66,66,0,0
13104,7320,6436,475,77
13108,3019,2636,284,28
13110,1191,1062,118,7
13111,506,441,59,0
13112,999,914,37,0
13113,108,94,14,0
13114,2622,2294,216,5
13115,71,61,1,0
13116,1797,1637,68,0
13117,77,47,21,0
13118,2097,1706,291,13
13120,988,891,41,35
13122,319,264,28,0
13123,29,16,13,0
13124,56,51,5,0
13126,15293,12175,1431,114
13131,1460,1285,164,0
13132,2008,1696,238,0
13134,20,20,0,0
13135,3068,2582,365,18
13136,219,178,26,0
13138,15,15,0,0
13140,1774,1475,223,0
13141,249,207,37,0
13142,2523,2291,146,21
13143,1081,822,201,0
13144,553,489,55,0
13145,612,544,44,0
13146,817,658,96,6
13147,708,579,72,10
13148,4986,4283,435,20
13152,3534,2834,334,19
13153,170,170,0,0
13155,314,252,35,0
13156,866,806,11,0
13157,403,367,36,0
13158,802,688,97,0
13159,2573,2226,214,9
13160,951,786,67,0
13162,152,137,0,0
13163,113,101,6,0
13164,1369,1149,212,0
13165,4836,4331,375,15
13166,2851,2479,279,8
13167,1422,1304,100,8
13202,1257,556,101,256
13203,6039,4049,690,552
13204,7482,5304,747,758
13205,6311,4497,705,694
13206,8115,6559,703,416
13207,5470,4107,652,354
13208,9080,6219,1620,472
13209,6153,5435,537,92
13210,10567,4942,1014,1005
13211,3003,2630,250,24
13212,9822,8423,1017,67
13214,2964,2159,257,127
13215,7131,6405,558,72
13219,6882,5856,662,163
13224,4102,2837,425,300
13301,66,55,11,0
13302,711,582,107,0
13303,433,400,16,0
13304,619,571,21,3
13305,71,55,12,0
13308,1628,1483,42,6
13309,2912,2445,253,12
13310,299,261,24,0
13312,106,95,0,2
13313,250,157,70,11
13314,218,192,19,0
13315,730,624,94,6
13316,2990,2594,289,7
13317,1578,1356,175,6
13318,575,473,102,0
13319,612,513,57,19
13320,884,662,171,3
13321,544,505,39,0
13322,560,448,95,0
13323,4752,3873,340,0
13324,976,859,58,4
13325,436,359,50,0
13326,2421,1780,262,22
13327,983,834,110,7
13328,584,553,26,0
13329,1711,1419,207,22
13331,90,90,0,0
13332,1218,1056,121,2
13333,11,6,5,0
13334,479,426,24,0
13335,764,602,62,37
13337,264,187,77,0
13338,439,363,63,0
13339,2766,2320,261,7
13340,3692,3180,387,0
13341,29,29,0,0
13342,88,78,0,0
13343,645,551,86,0
13345,91,71,17,0
13346,2324,1498,95,18
13348,587,485,80,6
13350,3713,3149,206,43
13352,79,79,0,0
13353,28,28,0,0
13354,1450,1220,227,0
13355,294,276,4,0
13357,4537,3914,450,10
13360,196,149,13,0
13361,386,310,46,7
13362,78,75,0,0
13363,1242,1119,98,11
13364,144,74,57,0
13365,3931,3348,378,2
13367,3453,2800,347,24
13368,570,481,71,0
13402,789,656,64,0
13403,2050,1891,77,23
13404,102,93,9,0
13406,345,298,33,3
13407,2158,1833,239,13
13408,1117,653,104,55
13409,1431,1231,158,0
13410,116,98,18,0
13411,1450,1153,226,9
13413,6931,6450,336,33
13415,26,18,8,0
13416,848,735,80,10
13417,1792,1557,209,15
13418,169,141,18,0
13420,555,437,14,10
13421,6298,5172,662,15
13424,1187,1040,70,0
13425,997,809,127,2
13428,528,393,108,0
13431,915,774,78,7
13433,559,412,86,0
13435,100,93,2,0
13436,74,53,4,0
13437,207,191,16,0
13438,1817,1654,85,2
13439,1522,1221,149,57
13440,17616,15160,1443,287
13441,28,28,0,0
13450,84,41,43,0
13452,1867,1585,137,7
13454,314,222,47,5
13456,2204,1907,257,0
13459,988,839,55,2
13460,1842,1558,214,0
13461,1475,1390,65,0
13464,494,401,52,7
13468,210,173,34,0
13469,307,266,35,0
13470,227,188,35,0
13471,1401,1187,166,3
13472,90,90,0,0
13473,333,272,39,9
13476,1379,1204,152,0
13477,910,820,45,0
13478,1419,1368,51,0
13480,1552,1295,184,0
13483,121,99,22,0
13484,92,80,12,0
13485,365,307,42,0
13486,275,275,0,0
13488,89,87,0,0
13489,234,204,18,0
13490,671,613,58,0
13491,1528,1212,202,12
13492,5510,5050,375,56
13493,830,654,132,8
13494,143,132,4,0
13495,910,798,71,2
13501,13091,9952,1879,323
13502,14625,11671,1572,388
13601,17166,13746,2294,249
13602,2150,655,584,14
13603,3706,2755,668,39
13605,2113,1689,351,5
13606,1569,1381,114,3
13607,659,488,79,0
13608,632,533,82,3
13612,1338,1233,85,0
13613,919,757,120,0
13614,64,64,0,0
13615,535,516,10,0
13616,866,746,35,0
13617,4363,2908,312,2
13618,628,492,68,0
13619,4926,4317,505,10
13620,735,650,62,0
13621,257,209,33,11
13622,1156,1001,69,4
13623,51,45,3,3
13624,2217,1850,255,6
13625,737,672,56,0
13626,897,765,46,5
13628,150,134,8,0
13630,707,497,201,0
13633,168,130,8,0
13634,1800,1563,197,0
13635,322,304,8,5
13636,122,96,24,0
13637,1819,1504,172,6
13638,166,114,52,0
13639,46,41,5,0
13640,90,48,42,0
13641,26,26,0,0
13642,3387,2820,381,0
13643,29,29,0,0
13646,1059,757,222,15
13647,17,17,0,0
13648,1006,823,128,0
13650,407,324,35,2
13651,109,100,4,2
13652,607,481,85,0
13654,912,735,89,0
13655,1270,1185,79,0
13656,1204,1011,111,0
13658,945,784,69,0
13659,214,193,17,0
13660,932,844,66,4
13661,697,586,101,0
13662,7110,5761,918,13
13664,252,200,13,4
13665,243,233,10,0
13666,84,74,10,0
13667,1184,947,193,0
13668,1432,1182,139,2
13669,6144,4851,866,30
13670,135,119,16,0
13672,134,108,8,0
13673,1112,982,102,0
13674,61,61,0,0
13676,6394,4348,484,0
13677,35,0,35,0
13678,49,49,0,0
13679,644,492,141,2
13680,429,388,21,0
13681,354,253,71,5
13682,363,308,50,0
13684,439,385,52,0
13685,1095,908,82,6
13687,210,177,27,0
13690,322,258,27,1
13691,1288,1004,248,0
13692,9,5,0,0
13693,162,162,0,0
13694,569,517,30,9
13695,25,12,10,0
13697,795,611,90,0
13730,1278,938,226,36
13731,353,234,29,30
13732,4091,3785,241,11
13733,2340,1906,276,38
13734,1264,1143,109,0
13736,966,763,184,12
13739,397,339,45,0
13740,171,137,17,8
13743,1775,1555,113,11
13744,722,623,26,9
13746,1118,1059,59,0
13748,1903,1763,113,12
13750,378,311,58,0
13751,75,57,18,0
13752,342,294,30,4
13753,2034,1523,220,26
13754,1598,1170,247,15
13755,634,475,112,0
13756,286,239,21,4
13757,444,361,39,17
13760,20677,17388,2033,484
13774,39,39,0,0
13775,776,479,205,3
13776,187,164,16,1
13777,325,316,6,3
13778,2597,2200,221,3
13780,372,229,101,0
13782,215,158,43,0
13783,958,775,111,12
13784,66,50,16,0
13786,192,166,16,0
13787,1434,1233,100,29
13788,396,300,53,6
13790,8062,6331,951,296
13794,40,34,6,0
13795,1871,1690,120,23
13796,643,544,58,2
13797,980,860,92,4
13801,563,427,126,0
13802,265,265,0,0
13803,1694,1455,187,5
13804,180,154,10,10
13806,144,94,50,0
13807,541,366,74,52
13808,638,502,75,2
13809,627,551,40,0
13810,546,521,22,0
13811,1959,1719,188,7
13812,1114,896,134,35
13813,413,361,46,0
13815,5706,4664,637,46
13820,9340,6219,1054,343
13825,1700,1349,244,18
13827,5285,4339,716,22
13830,1713,1482,145,10
13832,291,272,14,2
13833,1944,1699,171,0
13834,40,40,0,0
13835,683,570,96,6
13838,1795,1412,222,17
13839,762,554,172,3
13841,182,153,11,0
13842,265,223,20,5
13843,684,548,80,1
13844,283,249,31,0
13845,44,44,0,0
13846,109,109,0,0
13847,47,43,0,0
13849,1844,1488,285,4
13850,9377,8503,563,41
13856,2429,1833,406,64
13859,112,102,10,0
13860,41,32,0,0
13861,275,247,23,5
13862,1917,1708,174,0
13863,264,220,31,5
13864,560,418,106,1
13865,3017,2561,363,0
13901,8224,6612,1001,287
13902,1112,112,105,10
13903,8386,6906,725,316
13904,3883,3122,385,239
13905,11056,7775,1435,895
14001,4499,4105,354,1
14004,5106,4532,283,10
14005,1092,959,45,8
14006,4072,3498,460,33
14008,556,521,34,0
14009,2559,2031,337,20
14011,2831,2441,261,0
14012,972,883,62,0
14013,765,667,71,0
14020,10761,9264,789,65
14024,790,627,133,5
14025,1671,1526,75,0
14026,316,288,28,0
14028,600,551,40,0
14030,766,709,57,0
14031,4069,3698,209,48
14032,3550,3233,224,10
14033,1038,921,97,0
14034,687,649,28,0
14035,10,0,10,0
14036,2634,2247,274,0
14037,482,454,18,0
14039,64,61,0,0
14040,995,866,116,0
14041,106,97,9,0
14042,1782,1477,211,4
14043,11605,10311,866,78
14047,3502,3105,237,49
14048,6642,4985,913,48
14051,9864,8880,743,94
14052,8152,7444,405,29
14054,585,521,49,4
14055,601,515,63,0
14057,3758,3247,389,47
14058,1214,984,97,0
14059,4373,4023,263,29
14060,255,193,47,0
14061,118,103,14,0
14062,1323,1158,128,0
14063,6874,5179,558,76
14065,735,620,77,18
14066,601,524,51,0
14067,2032,1764,268,0
14068,3015,2694,268,30
14069,327,251,50,11
14070,2266,1702,290,25
14072,9654,8811,696,69
14075,21116,18474,1820,202
14080,2129,1797,231,0
14081,1227,1034,163,0
14082,226,209,12,5
14085,3578,3234,251,29
14086,16455,14764,1180,31
14091,533,503,13,0
14092,4602,4085,346,14
14094,22310,19232,2007,204
14098,1285,1038,171,2
14101,1087,808,144,9
14102,858,767,16,0
14103,4285,3557,517,6
14105,1838,1577,208,0
14108,2821,2552,232,11
14109,215,48,15,0
14111,1363,1111,153,5
14113,360,287,58,0
14120,20911,18617,1662,148
14125,1806,1589,187,6
14126,232,232,0,0
14127,13953,12834,741,31
14129,655,562,75,0
14130,113,91,15,6
14131,2305,2135,113,12
14132,2891,2586,259,0
14134,30,30,0,0
14135,94,69,17,8
14136,2137,1912,153,0
14138,848,679,100,7
14139,835,767,39,0
